product_sku,product_name,category,price
P1001,Wireless Mouse,Electronics,25.99
P1002,USB-C Charger,Electronics,19.49
P1003,Notebook,Stationery,5.25
P1004,Water Bottle,Accessories,12.75
P1005,Laptop Stand,Electronics,35.00
P1006,Bluetooth Speaker,Electronics,45.99
P1007,Ballpoint Pen Pack,Stationery,3.99
P1008,Coffee Mug,Accessories,8.50
P1009,Desk Lamp,Furniture,22.00
P1010,Portable SSD,Electronics,89.99
P1011,Backpack,Accessories,49.99
P1012,Sticky Notes,Stationery,2.99
P1013,Monitor 24",Electronics,129.00
P1014,Keyboard,Electronics,27.99
P1015,Chair Cushion,Furniture,18.50